,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
100,100,محل للإيجار في طريق ديراب الفرعي ، حي نمار ، الرياض ، الرياض,"40,000 ريال",101 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-نمار/طريق-ديراب-الفرعي-حي-نمار-الرياض-الرياض-2472683,جنوب,,
101,101,محل للإيجار في شارع الدائري الثاني ، حي طويق ، الرياض ، الرياض,"150,000 ريال",480 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-الدائري-الثاني-حي-طويق-الرياض-الرياض-3669520,شرق,30 م,جديد
102,102,محل للإيجار في شارع محمد ابو نهيه ، حي السويدي ، الرياض ، الرياض,"7,000 ريال",28 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-محمد-ابو-نهيه-حي-السويدي-الرياض-الرياض-3588428,شمال,,
103,103,محل للإيجار في شارع سفيان بن الحكم ، حي العوالي ، الرياض ، الرياض,"16,000 ريال",40 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-سفيان-بن-الحكم-حي-العوالي-الرياض-الرياض-2034101,شرق,41 م, 2 سنة
104,104,محل للإيجار في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,"7,000 ريال",105 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/حي-طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-3594549,جنوب,40 م,جديد
105,105,محل للإيجار في شارع طيبة ، حي ظهرة لبن ، الرياض ، الرياض,"19,000 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-طيبة-حي-ظهرة-لبن-الرياض-الرياض-2861304,غرب,30 م,جديد
106,106,محل للإيجار في شارع الطائف ، حي ظهرة لبن ، الرياض ، الرياض,"60,000 ريال",1200 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الطائف-حي-ظهرة-لبن-الرياض-الرياض-3546148,جنوب,60 م,جديد
107,107,محل للإيجار في شارع الاخلاص ، حي طويق ، الرياض ، الرياض,"1,000 ريال",23 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-الاخلاص-حي-طويق-الرياض-الرياض-3441791,جنوب,60 م, 10 سنة
108,108,محل للإيجار في شارع المدينة المنورة ، حي البديعة ، الرياض ، الرياض,"12,000 ريال",45 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-سلطانة/شارع-المدينة-المنورة-حي-البديعة-الرياض-الرياض-2046630,جنوب,,
109,109,محل للإيجار في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,"35,000 ريال",50 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/حي-طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-3630118,غرب,40 م,جديد
110,110,محل للإيجار في شارع خديجة بنت خويلد ، حي العريجاء الغربية ، الرياض,"26,000 ريال",100 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-العريجاء-الغربية/شارع-خديجة-بنت-خويلد-حي-العريجاء-الغربية-الرياض-1656102,جنوب,,
111,111,محل للإيجار في حي ، شارع حبيبة ينت ابي سفيان ، حي العريجاء الغربية ، الرياض ، الرياض,"80,000 ريال",400 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-العريجاء-الغربية/حي-شارع-حبيبة-ينت-ابي-سفيان-حي-العريجاء-الغربية-الرياض-الرياض-3610831,شرق,30 م,جديد
112,112,محل للإيجار في حي ، شارع المجد ، حي ظهرة لبن ، الرياض ، الرياض,"25,000 ريال",130 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/حي-شارع-المجد-حي-ظهرة-لبن-الرياض-الرياض-3704260,شرق,30 م,جديد
